ticker,name,price,change_pct,market
292150,TIGER 코리아TOP10,36790.0,3.33,KOSPI
002790,아모레퍼시픽홀딩스,26100.0,0.77,KOSPI
018670,SK가스,213500.0,0.0,KOSPI
475150,SK이터닉스,57700.0,3.41,KOSPI
385540,RISE 종합채권(A-이상)액티브,103330.0,0.34,KOSPI
439260,대한조선,50700.0,4.11,KOSPI
462870,시프트업,32300.0,-1.07,KOSPI
000155,두산우,469000.0,0.97,KOSPI
214980,KODEX 단기채권PLUS,114690.0,0.02,KOSPI
457190,이수스페셜티케미컬,60200.0,3.97,KOSPI
294400,KIWOOM 200TR,137000.0,3.92,KOSPI
000120,CJ대한통운,76900.0,1.18,KOSPI
105190,ACE 200,104595.0,4.01,KOSPI
112610,씨에스윈드,41000.0,2.89,KOSPI
442580,PLUS 글로벌HBM반도체,99870.0,5.56,KOSPI
0193W0,KODEX 삼성전자단일종목레버리지,11090.0,4.62,KOSPI
011210,현대위아,62300.0,3.49,KOSPI
441640,KODEX 미국배당커버드콜액티브,13175.0,1.35,KOSPI
023590,다우기술,39000.0,1.3,KOSPI
0195S0,TIGER SK하이닉스단일종목레버리지,8840.0,11.41,KOSPI
395400,SK리츠,5570.0,1.09,KOSPI
477080,RISE CD금리액티브(합성),107230.0,0.01,KOSPI
008770,호텔신라,42100.0,1.45,KOSPI
020150,롯데에너지머티리얼즈,31250.0,2.63,KOSPI
446770,ACE 글로벌반도체TOP4 Plus,79210.0,4.02,KOSPI
487230,KODEX 미국AI전력핵심인프라,21455.0,1.35,KOSPI
120110,코오롱인더,53800.0,3.26,KOSPI
006040,동원산업,36200.0,-2.03,KOSPI
001740,SK네트웍스,7900.0,4.77,KOSPI
466920,SOL 조선TOP3플러스,29780.0,5.01,KOSPI
368590,RISE 미국나스닥100,31325.0,2.37,KOSPI
379780,RISE 미국S&P500,23960.0,1.35,KOSPI
001800,오리온홀딩스,25850.0,1.77,KOSPI
097230,HJ중공업,17200.0,3.8,KOSPI
00680K,미래에셋증권2우B,11340.0,2.62,KOSPI
453850,ACE 미국30년국채액티브(H),7230.0,1.26,KOSPI
610063,메리츠 KIS CD금리투자 ETN,55620.0,0.01,KOSPI
475630,TIGER CD1년금리액티브(합성),1073390.0,0.01,KOSPI
322000,HD현대에너지솔루션,135900.0,5.35,KOSPI
329200,TIGER 리츠부동산인프라,4025.0,0.63,KOSPI
305720,KODEX 2차전지산업,13120.0,0.85,KOSPI
020560,아시아나항공,7230.0,3.29,KOSPI
001430,세아베스틸지주,40800.0,7.79,KOSPI
229640,LS에코에너지,47600.0,7.69,KOSPI
0177N0,KODEX 삼성전자SK하이닉스채권혼합50,13895.0,2.66,KOSPI
069620,대웅제약,124500.0,0.73,KOSPI
001120,LX인터내셔널,37150.0,0.27,KOSPI
089860,롯데렌탈,39400.0,0.0,KOSPI
294870,IPARK현대산업개발,21700.0,2.12,KOSPI
